,moveName,plnCmd,numCmd,startup,active,recovery,total,onHit,onPC,onBlock,DRoH,DRoB,onPP,SSoH,SSoB,dmg,hcWinSpCa,hitstun,blockstun,DDoH,DDoB,DGain,SelfSoH,SelfSoB,OppSoH,OppSoB,atkLvl,xx,extraInfo,moveType,moveMotion,moveButton,i,airmove,hcWinTc,cmnName,nonHittingMove,movesList,hitstop,followUp,chp,projectile,chargeDirection
LK Aerial Hundred Lightning Kicks,LK Aerial Hundred Lightning Kicks,qcf+LK(air),236LK(air),8,2(4)2(4)2,15,,-4(1),0(5),-7(-2),,,-24(-16),,,900 (300x3),,20 each,17 each,5000,2000 (1000*1000),2000 (666x2*668),800 (250x2*300),275 (125*150),560 (175x2*210),137 (62*75),H,,"['3 hits', 'Only possible during neutral or forward jump', 'Whiffs on crouching', 'Crouching state during the last 5 frames (11-15F) of the landing recovery', 'Recovery frames listed refers to the landing recovery frames (not including the variable air time)', 'Forced Knockdown state while airborne']",special,QCF,LK,51,True,,LK Legs (air),,Special,,,,,
MK Aerial Hundred Lightning Kicks,MK Aerial Hundred Lightning Kicks,qcf+MK(air),236MK(air),10,2(4)2(4)2(5)2,15,,-4(1),0(5),-8(-3),,,-25(-17),,,1000 (250x4),,22 each,18 each,5000,2000 (1000*1000),2000 (500x4),800 (200x4),200 (100x2),560 (140x4),100 (50x2),H,,"['4 hits', 'Only possible during neutral or forward jump', 'Whiffs on crouching', 'Crouching state during the last 5 frames (11-15F) of the landing recovery', 'Recovery frames listed refers to the landing recovery frames (not including the variable air time)', 'Forced Knockdown state while airborne']",special,QCF,MK,52,True,,MK Legs (air),,,,,,,
HK Aerial Hundred Lightning Kicks,HK Aerial Hundred Lightning Kicks,qcf+HK(air),236HK(air),12,2(4)2(3)2(4)2(3)2,15,,-5(-2),0(2),-9(-6),,,-29(-24),,,1100 (220x5),,24 each,20 each,5000,1000,2000 (400x5),800 (160x5),80,560 (112x5),40,H,,"['5 hits', 'Only possible during neutral or forward jump', 'Whiffs on crouching', 'Crouching state during the last 5 frames (11-15F) of the landing recovery', 'Recovery frames listed refers to the landing recovery frames (not including the variable air time)', 'Forced Knockdown state while airborne']",special,QCF,HK,53,True,,HK Legs (air),,,,,,,
OD Aerial Hundred Lightning Kicks,OD Aerial Hundred Lightning Kicks,qcf+KK(air),236KK(air),6,2(4)2(2)2(3)2(2)2(3)2,15,,KD +21,KD +21,-32(-16),,,-46(-30),,,1300 (200x5*300),,,21 (7),5000,2668 (666x3*670),-20000,800 (100x5*300),300 (50x3*150),560 (70x5*210),150 (25x3*75),H,,"['6 hits', 'Only possible during neutral or forward jump', 'Can Tiger Knee motion this to do it closer to the ground', 'Whiffs on crouching', 'Crouching state during the last 5 frames (11-15F) of the landing recovery', 'Recovery frames listed refers to the landing recovery frames (not including the variable air time)', 'Forced Knockdown state while airborne']",special,QCF,2K,54,True,,OD Legs (air),,,,,,,
LK Spinning Bird Kick,LK Spinning Bird Kick,"d,u+LK",28LK,9,2(6)2(6)2,6+24,56,KD +33,KD +33,-18,,,-30,,,1000 (333x2*334),,,30 total,5000,3000 (1000x3),2000 (666x2*668),1200 (400x3),600 (200x3),840 (280x3),300 (100x3),H,,"['Takes 30 frames to charge', 'Airborne on frames 8-32 (Forced Knockdown state)', 'Does not require charge if canceled into from Stance moves']",special,U,LK,55,,,LK Spinning Bird Kick,,Special,,,251 (84x2*83),,D
MK Spinning Bird Kick,MK Spinning Bird Kick,"d,u+MK",28MK,16,2(6)2(6)2(7)2(4)2,8+21,77,KD +34,KD +34,-17,,,-28,,,1200 (200x4*400),,,45 total,5000,4000 (800x5),2000 (400x5),1200 (240x5),600 (120x5),840 (168x5),300 (60x5),H,,"['Takes 30 frames to charge', 'Airborne on frames 15-56 (Forced Knockdown state)', 'Does not require charge if canceled into from Stance moves']",special,U,MK,56,,,MK Spinning Bird Kick,,,,,275 (50x4*75),,D
HK Spinning Bird Kick,HK Spinning Bird Kick,"d,u+HK",28HK,21,2(4)2(8)2(6)2(5)2(5)2(3)2,8+22,95,KD +33,KD +33,-18,,,-35,,,1400 (180x6*320),,,57 total,5000,4200 (600x7),2000 (285x6*290),1200 (150x6*300),600 (75x6*150),840 (105x6*210),297 (37x6*75),H,,"['Takes 30 frames to charge', 'Airborne on frames 19-73 (Forced Knockdown state)', 'Does not require charge if canceled into from Stance moves']",special,U,HK,57,,,HK Spinning Bird Kick,,,,,350 (45x6*80),,D
OD Spinning Bird Kick,OD Spinning Bird Kick,"d,u+KK",28KK,16,2(4)2(4)2(5)2(4)2(5)2(4)2,8+15,78,KD +55,KD +55,-12,,,-28,,,800 (100x6*200),,,51 total,5000,4200 (600x7),-20000,1200 (150x6*300),600 (75x6*150),840 (105x6*210),297 (37x6*75),H,,"['Takes 30 frames to charge', 'Airborne on frames 14-63 (Forced Knockdown state)', 'Launches grounded opponent into a limited juggle state on hit', 'Knocks down airborne opponents', 'Does not require charge if canceled into from Stance moves']",special,U,2K,58,,,OD Spinning Bird Kick,,,,,350 (25x6*50),,D
LK Hazanshu,LK Hazanshu,qcb+LK,214LK,23,2,21,45,0,4,-9,,,-21,,,1000,16,23,14,4000,4000,2000,1200,600,840,300,M,['su3'],"['Overhead', 'Lower half of body is Projectile invincible on frames 5-18', 'Airborne on frames 5-20 (Forced Knockdown state)', 'Crouching state during recovery frames', 'Incurs a 20% damage scaling penalty if used as the first hit of a combo']",special,QCB,LK,59,,,LK Hazanshu,,Special,,,250,,
MK Hazanshu,MK Hazanshu,qcb+MK,214MK,27,3,16,45,2,6,-3,,,-17,,,1000,17,21,16,5000,4000,2000,1200,600,840,300,M,['su3'],"['Overhead', 'Lower half of body is Projectile invincible on frames 6-21', 'Airborne on frame 6-24 (Forced Knockdown state)', 'Crouching state during recovery frames', 'Incurs a 30% damage scaling penalty if used as the first hit of a combo']",special,QCB,MK,60,,,MK Hazanshu,,,,,250,,
HK Hazanshu,HK Hazanshu,qcb+HK,214HK,32,3,16(18),50(52),6,10,-1,,,-17,,,1200,17,27,18,7000,4000,2000,1200,600,840,300,M,['su3'],"['Overhead', 'Lower half of body is Projectile invincible on frames 6-26', 'Airborne on frame 6-29 (Forced Knockdown state)', '+2F extra (18F) recovery frames on whiff', 'Crouching state during recovery frames', 'Incurs a 20% damage scaling penalty if used as the first hit of a combo']",special,QCB,HK,61,,,HK Hazanshu,,,,,250,,
OD Hazanshu,OD Hazanshu,qcb+KK,214KK,26,3,16,44,KD +52 (OTG),KD +52 (OTG),-5,,,-17,,,1200,20,,14,5000,4000,-20000,1200,600,840,300,M,"['su2', 'su3']","['Overhead', 'Lower half of body is Projectile invincible on frames 6-21 and then full body Projectile invincible on frames 22-28', 'Airborne on frame 6-23 (Forced Knockdown state)', 'Launches opponent into an free juggle OTG state on hit', 'Crouching state during recovery frames', 'Incurs a 20% damage scaling penalty if used as the first hit of a combo', ""Counts as 2 hits of damage scaling when combo'd into""]",special,QCB,2K,62,,,OD Hazanshu,,,,,250,,
LK Tenshokyaku,LK Tenshokyaku,"d,d+LK",22LK,5,2(10)2,27+12,57,KD +29,KD +29,-37,,,-51,,,900 (450*450),,,16,5000,3000,2000 (1000*1000),1000 (500*500),250,700 (350*350),125,H,,"['Invincible against airborne strikes on frames 1-10', 'Airborne on frames 8-45 (Forced Knockdown state)', 'Cannot hit cross-up (behind Chun-Li)']",special,DD,LK,63,,,LK Upkicks,,Special,,,113,,
MK Tenshokyaku,MK Tenshokyaku,"d,d+MK",22MK,7,2(10)2,31+12,63,KD +25,KD +25,-41,,,-55,,,1000 (450*550),,,16,5000,3000,2000 (1000*1000),1000 (500*500),250,700 (350*350),125,H,,"['Invincible against airborne strikes on frames 1-10', 'Airborne on frames 8-51 (Forced Knockdown state)', 'Cannot hit cross-up (behind Chun-Li)']",special,DD,MK,64,,,MK Upkicks,,,,,113,,
HK Tenshokyaku,HK Tenshokyaku,"d,d+HK",22HK,9,2(8)2(8)2(11)2,26+12,81,KD +37,KD +37,-57,,,-71,,,1200 (200x3*400),,,16,5000,3000,2000 (500x4),1000 (250x4),125,700 (175x4),62,H,,"['Invincible against airborne strikes on frames 1-10', 'Airborne on frames 8-69 (Forced Knockdown state)', 'Cannot hit cross-up (behind Chun-Li)']",special,DD,HK,65,,,HK Upkicks,,,,,50,,
OD Tenshokyaku,OD Tenshokyaku,"d,d+KK",22KK,6,3(5)3,16+25,57,KD +30,KD +30,-40,,,-50,,,1400 (180x5*500),,,12,,3000,-20000,800 (200x6),100,840 (140x6),50,H,,"['Fully invincible frames 1-7', 'Airborne on frames 8-32 (Forced Knockdown state)', 'Cannot hit cross-up (behind Chun-Li)', 'Active and Recovery frames listed refers to the version that plays out on Block and Whiff (only does the follow-up attacks on hit)']",special,DD,2K,66,,,OD Upkicks,,,,,45,,
Kikosho,Kikosho,"qcf,qcf+P",236236P,7,70,46,122,KD +22,KD +22,-22,,,-35,,,1700 (300x4*500),,,66 total,5000 (1000x5),2500 (500x5),,-10000,-10000,,,H,,"['Strike and Throw invincible on frames 1-7', '5-hit Super projectile', 'Armor Break', 'Depletes 0.5 Drive Bar on hit for the opponent', 'Can hit cross-up (behind Chun-Li)', 'Minimum damage scaling of 30%']",super,DQCF,1P,67,,,Super Art Level 1,,Super,,,500 (100x5),,
Aerial Kikosho,Aerial Kikosho,"qcf,qcf+P (air)",236236P (air),7,50,~(16),103,KD +14,KD +14,-20,,,,,,1800 (300x4*600),,,72 total,5000 (1000x5),2500 (500x5),,-10000,-10000,,,H,,"['Fully invincible on frame 1 only (during screen freeze)', '5-hit Super projectile', '16F landing recovery frames (total recovery frames vary depending on how high from the ground the Super was performed)', 'Armor Break', 'Depletes 0.5 Drive Bar on hit for the opponent', 'Can hit cross-up (behind Chun-Li)', 'Minimum damage scaling of 30%']",super,DQCF,1P,68,True,,Super Art Level 1 (air),,Super,,,500 (100x5),,
Hoyoku-sen,Hoyoku-sen,"qcf,qcf+K",236236K,11,2(1)2(1)2(1)2(2)2(1)2(1)2(1)2(11)2(2)2(2)2(2)2(2)2(2)2(2)2(23)3,48,144,KD +29,KD +29,-35,,,-49,,,2000,,,76(7)20,10000,5000,,-20000,-20000,,,H,['j'],"['Fully invincible frames 1-12', 'Last hit is jump cancelable by holding up (Chun-Li always jumps forward)', 'Counts as 3 hits of damage scaling', 'Armor Break', 'Depletes 1 Drive Bar on hit for the opponent', 'Minimum damage scaling of 40%', 'Incurs a 40% damage scaling penalty if used as the first hit of a combo', ""Counts as 3 hits of damage scaling when combo'd into""]",super,DQCF,1K,69,,,Super Art Level 2,,Super,,,750 (30x7*150*30x6*160*50),,
Soten Ranka,Soten Ranka,"qcb,qcb+K",214214K,8,2(24)1(7)1,40,82,HKD +6,HKD +6,-24,,,-39,,,4000,,,51(25),15000,7500,,-30000,-30000,,,H,,"['Fully invincible frames 1-9', 'No cinematic if the first hit whiffs (the following 2 hits on whiff do 1000 damage together)', 'Armor Break', 'Depletes 1.5 Drive Bars on hit for the opponent', 'Super cinematic time regenerates ~1.8 Drive Bars for Chun-Li', 'Minimum damage scaling of 50%', 'Incurs 10% damage scaling when canceled into from specials']",super,DQCB,1K,70,,,Super Art Level 3,,Super,,,1000 (500*250x2),,
Soten Ranka (Critical Art),Soten Ranka (Critical Art),"qcb,qcb+K (CA)",214214K (CA),8,2(24)1(7)1,40,82,HKD +18,HKD +18,-24,,,-39,,,4500,,,51(25),20000,10000,,-30000,-30000,,,H,,"['Fully invincible frames 1-9', 'No cinematic if the first hit whiffs (the following 2 hits on whiff do 1000 damage together)', 'Armor Break', 'Depletes 2 Drive Bars on hit for the opponent', 'Super cinematic time regenerates ~2 Drive Bars for Chun-Li', 'Minimum damage scaling of 50%', 'Incurs 10% damage scaling when canceled into from specials']",super,DQCB,1K,71,,,Critical Art,,,,,1250 (750*250x2),,
